shoe,price,links,date,source
Jordan 4 Retro Canyon Purple (W),A$331,www.stockx.com/air-jordan-4-retro-canyon-purple-w,18/10/2022,StockX
Jordan 4 Retro SE Black Canvas,A$459,www.stockx.com/air-jordan-4-retro-se-black-canvas,18/10/2022,StockX
Jordan 3 Retro Fire Red (2022),A$314,www.stockx.com/air-jordan-3-retro-fire-red-2022,18/10/2022,StockX
Jordan 4 Retro Military Black,A$552,www.stockx.com/air-jordan-4-retro-military-black,18/10/2022,StockX
NikeCraft General Purpose Shoe Tom Sachs Archive Dark Sulfur,A$194,www.stockx.com/nikecraft-general-purpose-shoe-tom-sachs-yellow,18/10/2022,StockX
Jordan 1 Retro Low OG Black Dark Powder Blue,A$250,www.stockx.com/air-jordan-1-retro-low-og-unc,18/10/2022,StockX
Nike Dunk Low Retro White Black Panda (2021),A$289,www.stockx.com/nike-dunk-low-retro-white-black-2021,18/10/2022,StockX
adidas Yeezy Slide Bone (2022 Restock),A$172,www.stockx.com/adidas-yeezy-slide-bone-2022,18/10/2022,StockX
Nike Dunk Low Retro White Black Panda (2021) (W),A$257,www.stockx.com/nike-dunk-low-white-black-2021-w,18/10/2022,StockX
Nike Dunk Low Wolf Grey Pure Platinum,A$303,www.stockx.com/nike-dunk-low-wolf-grey-pure-platinum,18/10/2022,StockX
adidas Yeezy Slide Onyx,A$158,www.stockx.com/adidas-yeezy-slide-black-onyx,18/10/2022,StockX
Nike Air Force 1 Low '07 White,A$163,www.stockx.com/nike-air-force-1-low-white-07,18/10/2022,StockX
adidas Yeezy Foam RNR Onyx,A$253,www.stockx.com/adidas-yeezy-foam-rnnr-onyx,18/10/2022,StockX
Nike Dunk Low Retro QS Argon (2022),A$218,www.stockx.com/nike-dunk-low-retro-qs-flash-white-argon-blue-flash,18/10/2022,StockX
Jordan 1 Mid Light Smoke Grey,A$259,www.stockx.com/air-jordan-1-mid-light-smoke-grey,18/10/2022,StockX
Nike Dunk Low Retro White Black Panda (2021) (GS),A$224,www.stockx.com/nike-dunk-low-retro-white-black-gs,18/10/2022,StockX
Jordan 1 Retro High OG Starfish (W),A$291,www.stockx.com/air-jordan-1-retro-high-og-starfish-w,18/10/2022,StockX
adidas Campus 80s South Park Towelie,A$176,www.stockx.com/adidas-campus-80s-south-park-towelie,18/10/2022,StockX
Nike Court Legacy Lift White Black (W),A$116,www.stockx.com/nike-court-legacy-lift-white-black-w,18/10/2022,StockX
adidas Yeezy Slide Flax,A$118,www.stockx.com/adidas-yeezy-slide-flax,18/10/2022,StockX
adidas Yeezy Slide Resin (2022),A$127,www.stockx.com/adidas-yeezy-slide-resin-2022,18/10/2022,StockX
adidas Yeezy Boost 350 V2 Slate,A$368,www.stockx.com/adidas-yeezy-boost-350-v2-slate-core-black-slate,18/10/2022,StockX
Jordan 1 Retro High OG Taxi,A$284,www.stockx.com/air-jordan-1-retro-high-og-yellow-toe,18/10/2022,StockX
Nike Dunk High Black White (2021),A$196,www.stockx.com/nike-dunk-high-black-white-total-orange-2021,18/10/2022,StockX
